GarciaEtAl2005SSlab_CanadaSHM6-trial modified from OpenQuake implementation, distance is rhypo. Log10 ground motion values in cgs units, PGV and Sa(T<0.1s) not valid
          14 31 18 : nmag, ndist, nperiod
          10.000 5.000 4.000 3.000 2.000 1.500 1.000 0.750 0.500 0.400 0.300 0.200 0.100 0.070 0.050 0.040 PGA PGV 
          0.567 0.567 0.583 0.605 0.607 0.645 0.638 0.631 0.609 0.626 0.637 0.644 0.770 0.775 0.773 0.733 0.657 0.593
4.750 1.000 -0.573 0.057 0.292 0.608 1.049 1.363 1.749 2.001 2.319 2.506 2.718 2.931 3.138 3.081 2.974 2.900 2.685 0.970 
4.750 1.260 -0.596 0.031 0.267 0.582 1.023 1.337 1.723 1.975 2.293 2.481 2.692 2.905 3.112 3.054 2.948 2.874 2.659 0.944 
4.750 1.580 -0.629 -0.004 0.231 0.547 0.988 1.302 1.687 1.940 2.257 2.445 2.656 2.870 3.076 3.018 2.912 2.838 2.623 0.909 
4.750 2.000 -0.672 -0.051 0.185 0.500 0.941 1.255 1.641 1.893 2.211 2.398 2.609 2.822 3.029 2.971 2.864 2.790 2.576 0.862 
4.750 2.510 -0.726 -0.108 0.127 0.442 0.883 1.197 1.582 1.835 2.152 2.339 2.550 2.763 2.970 2.912 2.805 2.731 2.517 0.803 
4.750 3.160 -0.790 -0.177 0.059 0.374 0.814 1.128 1.513 1.765 2.082 2.269 2.480 2.693 2.899 2.841 2.734 2.660 2.446 0.734 
4.750 3.980 -0.863 -0.255 -0.019 0.296 0.736 1.050 1.435 1.687 2.003 2.190 2.400 2.613 2.819 2.761 2.654 2.580 2.366 0.655 
4.750 5.010 -0.942 -0.340 -0.104 0.211 0.651 0.964 1.349 1.600 1.917 2.103 2.313 2.525 2.731 2.673 2.566 2.492 2.278 0.568 
4.750 6.310 -1.026 -0.430 -0.195 0.120 0.560 0.873 1.257 1.508 1.824 2.010 2.219 2.431 2.636 2.578 2.471 2.397 2.184 0.476 
4.750 7.940 -1.112 -0.525 -0.289 0.025 0.465 0.777 1.162 1.412 1.727 1.913 2.121 2.332 2.537 2.478 2.371 2.297 2.085 0.379 
4.750 10.000 -1.201 -0.622 -0.386 -0.072 0.367 0.679 1.063 1.313 1.627 1.812 2.019 2.229 2.433 2.374 2.267 2.193 1.981 0.279 
4.750 12.590 -1.291 -0.721 -0.485 -0.171 0.266 0.578 0.961 1.211 1.524 1.707 1.913 2.123 2.325 2.266 2.158 2.085 1.874 0.176 
4.750 15.850 -1.382 -0.821 -0.586 -0.273 0.164 0.475 0.858 1.106 1.418 1.600 1.804 2.013 2.214 2.154 2.046 1.973 1.763 0.070 
4.750 19.950 -1.473 -0.923 -0.688 -0.375 0.060 0.370 0.752 0.999 1.309 1.490 1.692 1.899 2.098 2.037 1.930 1.856 1.648 -0.039 
4.750 25.120 -1.565 -1.026 -0.792 -0.479 -0.045 0.264 0.644 0.890 1.197 1.376 1.576 1.781 1.977 1.916 1.808 1.735 1.529 -0.150 
4.750 31.620 -1.658 -1.130 -0.896 -0.585 -0.153 0.155 0.534 0.777 1.082 1.258 1.455 1.657 1.851 1.789 1.681 1.607 1.403 -0.265 
4.750 39.810 -1.752 -1.236 -1.002 -0.692 -0.262 0.043 0.420 0.661 0.962 1.136 1.328 1.527 1.717 1.654 1.545 1.473 1.272 -0.384 
4.750 50.120 -1.847 -1.344 -1.110 -0.801 -0.375 -0.071 0.303 0.541 0.837 1.007 1.194 1.389 1.575 1.510 1.401 1.328 1.131 -0.508 
4.750 63.100 -1.944 -1.453 -1.220 -0.913 -0.491 -0.190 0.181 0.416 0.706 0.871 1.051 1.242 1.421 1.354 1.245 1.173 0.980 -0.638 
4.750 79.430 -2.043 -1.565 -1.333 -1.028 -0.611 -0.313 0.054 0.283 0.566 0.725 0.897 1.082 1.254 1.184 1.074 1.003 0.816 -0.776 
4.750 100.000 -2.145 -1.680 -1.450 -1.147 -0.736 -0.443 -0.080 0.143 0.416 0.568 0.729 0.906 1.069 0.996 0.885 0.814 0.635 -0.925 
4.750 125.890 -2.251 -1.799 -1.570 -1.271 -0.868 -0.580 -0.224 -0.009 0.254 0.395 0.543 0.710 0.862 0.785 0.673 0.603 0.433 -1.085 
4.750 158.490 -2.362 -1.923 -1.696 -1.401 -1.008 -0.727 -0.379 -0.173 0.074 0.204 0.336 0.490 0.627 0.545 0.432 0.363 0.205 -1.262 
4.750 199.530 -2.478 -2.054 -1.828 -1.538 -1.158 -0.886 -0.548 -0.354 -0.125 -0.011 0.100 0.239 0.357 0.269 0.155 0.086 -0.057 -1.458 
4.750 251.190 -2.603 -2.192 -1.969 -1.686 -1.322 -1.060 -0.734 -0.557 -0.351 -0.255 -0.171 -0.052 0.043 -0.052 -0.169 -0.236 -0.361 -1.680 
4.750 316.230 -2.737 -2.340 -2.120 -1.846 -1.502 -1.254 -0.944 -0.785 -0.609 -0.537 -0.486 -0.392 -0.326 -0.431 -0.551 -0.615 -0.717 -1.933 
4.750 398.110 -2.884 -2.501 -2.285 -2.021 -1.703 -1.472 -1.181 -1.048 -0.908 -0.867 -0.857 -0.794 -0.765 -0.883 -1.005 -1.067 -1.140 -2.225 
4.750 501.190 -3.047 -2.677 -2.466 -2.216 -1.929 -1.720 -1.454 -1.352 -1.258 -1.255 -1.299 -1.275 -1.292 -1.425 -1.552 -1.611 -1.646 -2.567 
4.750 630.960 -3.229 -2.873 -2.669 -2.435 -2.189 -2.007 -1.772 -1.709 -1.674 -1.719 -1.828 -1.853 -1.929 -2.082 -2.214 -2.269 -2.257 -2.972 
4.750 794.330 -3.436 -3.094 -2.898 -2.685 -2.490 -2.343 -2.147 -2.132 -2.171 -2.276 -2.469 -2.556 -2.706 -2.882 -3.021 -3.071 -3.001 -3.456 
4.750 1000.000 -3.674 -3.346 -3.160 -2.975 -2.843 -2.739 -2.592 -2.639 -2.770 -2.952 -3.250 -3.415 -3.657 -3.865 -4.011 -4.056 -3.911 -4.039 
5.000 1.000 -0.431 0.193 0.421 0.725 1.154 1.459 1.831 2.072 2.381 2.561 2.768 2.971 3.168 3.115 3.011 2.939 2.724 1.040 
5.000 1.260 -0.445 0.177 0.405 0.709 1.138 1.442 1.815 2.056 2.365 2.544 2.751 2.954 3.152 3.099 2.995 2.922 2.708 1.024 
5.000 1.580 -0.466 0.154 0.382 0.686 1.115 1.419 1.791 2.032 2.341 2.521 2.728 2.930 3.128 3.075 2.971 2.898 2.684 1.000 
5.000 2.000 -0.496 0.121 0.349 0.653 1.082 1.386 1.759 1.999 2.308 2.487 2.694 2.897 3.094 3.041 2.937 2.865 2.651 0.967 
5.000 2.510 -0.535 0.078 0.306 0.610 1.038 1.342 1.715 1.955 2.264 2.443 2.650 2.853 3.050 2.997 2.892 2.820 2.606 0.923 
5.000 3.160 -0.586 0.023 0.251 0.555 0.983 1.287 1.660 1.900 2.208 2.387 2.594 2.796 2.993 2.940 2.836 2.764 2.550 0.868 
5.000 3.980 -0.647 -0.043 0.185 0.488 0.917 1.221 1.593 1.833 2.141 2.320 2.526 2.728 2.925 2.872 2.767 2.695 2.482 0.801 
5.000 5.010 -0.717 -0.119 0.109 0.413 0.841 1.144 1.516 1.756 2.064 2.243 2.448 2.650 2.846 2.793 2.689 2.617 2.403 0.723 
5.000 6.310 -0.795 -0.202 0.025 0.329 0.757 1.060 1.432 1.671 1.978 2.157 2.362 2.563 2.759 2.705 2.601 2.529 2.316 0.638 
5.000 7.940 -0.877 -0.292 -0.064 0.239 0.667 0.970 1.341 1.580 1.886 2.064 2.268 2.469 2.664 2.610 2.506 2.434 2.221 0.546 
5.000 10.000 -0.963 -0.385 -0.158 0.145 0.572 0.874 1.245 1.484 1.789 1.966 2.170 2.370 2.564 2.509 2.405 2.333 2.121 0.449 
5.000 12.590 -1.051 -0.482 -0.255 0.048 0.474 0.776 1.146 1.384 1.688 1.864 2.066 2.265 2.458 2.404 2.299 2.227 2.016 0.348 
5.000 15.850 -1.140 -0.581 -0.354 -0.052 0.373 0.674 1.044 1.281 1.584 1.758 1.959 2.157 2.348 2.293 2.188 2.117 1.907 0.244 
5.000 19.950 -1.231 -0.682 -0.456 -0.154 0.270 0.571 0.939 1.175 1.476 1.649 1.847 2.044 2.233 2.178 2.073 2.001 1.793 0.137 
5.000 25.120 -1.323 -0.785 -0.558 -0.257 0.165 0.465 0.832 1.066 1.365 1.536 1.732 1.926 2.113 2.057 1.952 1.881 1.674 0.026 
5.000 31.620 -1.415 -0.889 -0.663 -0.362 0.058 0.356 0.722 0.954 1.250 1.419 1.611 1.803 1.987 1.930 1.825 1.754 1.549 -0.089 
5.000 39.810 -1.509 -0.994 -0.768 -0.469 -0.051 0.245 0.609 0.838 1.130 1.296 1.485 1.673 1.854 1.796 1.690 1.619 1.418 -0.207 
5.000 50.120 -1.604 -1.102 -0.876 -0.578 -0.164 0.130 0.492 0.718 1.006 1.168 1.351 1.536 1.712 1.652 1.546 1.475 1.278 -0.331 
5.000 63.100 -1.701 -1.211 -0.986 -0.690 -0.280 0.012 0.370 0.593 0.874 1.032 1.208 1.388 1.558 1.496 1.390 1.320 1.127 -0.461 
5.000 79.430 -1.800 -1.323 -1.099 -0.805 -0.400 -0.111 0.243 0.460 0.735 0.886 1.054 1.228 1.391 1.327 1.219 1.149 0.963 -0.600 
5.000 100.000 -1.902 -1.438 -1.215 -0.924 -0.525 -0.241 0.108 0.320 0.585 0.729 0.886 1.052 1.206 1.138 1.030 0.961 0.782 -0.748 
5.000 125.890 -2.008 -1.557 -1.336 -1.047 -0.656 -0.378 -0.035 0.169 0.422 0.556 0.701 0.857 0.999 0.927 0.818 0.750 0.580 -0.909 
5.000 158.490 -2.119 -1.681 -1.461 -1.177 -0.797 -0.525 -0.190 0.004 0.243 0.365 0.493 0.637 0.764 0.688 0.577 0.510 0.351 -1.085 
5.000 199.530 -2.236 -1.812 -1.594 -1.315 -0.947 -0.684 -0.359 -0.177 0.043 0.150 0.257 0.385 0.494 0.412 0.300 0.233 0.090 -1.282 
5.000 251.190 -2.361 -1.950 -1.735 -1.463 -1.111 -0.859 -0.546 -0.379 -0.182 -0.094 -0.014 0.095 0.180 0.090 -0.024 -0.089 -0.214 -1.503 
