GarciaEtAl2005SSlab_CanadaSHM6-trial modified from OpenQuake implementation, distance is rhypo. Log10 ground motion values in cgs units, PGV and Sa(T<0.1s) not valid
          14 31 18 : nmag, ndist, nperiod
          10.000 5.000 4.000 3.000 2.000 1.500 1.000 0.750 0.500 0.400 0.300 0.200 0.100 0.070 0.050 0.040 PGA PGV 
          0.567 0.567 0.583 0.605 0.607 0.645 0.638 0.631 0.609 0.626 0.637 0.644 0.770 0.775 0.773 0.733 0.657 0.593
4.750 1.000 -0.563 0.074 0.337 0.687 1.130 1.445 1.831 2.080 2.395 2.578 2.784 2.985 3.177 3.115 3.010 2.938 2.732 1.036 
4.750 1.260 -0.586 0.048 0.311 0.661 1.105 1.419 1.805 2.055 2.369 2.552 2.758 2.959 3.151 3.089 2.983 2.912 2.706 1.010 
4.750 1.580 -0.619 0.013 0.276 0.626 1.069 1.383 1.769 2.019 2.333 2.516 2.722 2.923 3.115 3.053 2.947 2.876 2.670 0.974 
4.750 2.000 -0.662 -0.034 0.229 0.580 1.023 1.337 1.723 1.972 2.286 2.469 2.675 2.876 3.067 3.006 2.900 2.829 2.623 0.927 
4.750 2.510 -0.716 -0.091 0.172 0.522 0.965 1.279 1.665 1.914 2.228 2.410 2.616 2.817 3.008 2.946 2.841 2.769 2.564 0.869 
4.750 3.160 -0.780 -0.160 0.103 0.453 0.896 1.210 1.595 1.845 2.158 2.341 2.546 2.747 2.938 2.876 2.770 2.699 2.493 0.799 
4.750 3.980 -0.853 -0.238 0.025 0.375 0.818 1.131 1.517 1.766 2.079 2.261 2.466 2.667 2.857 2.795 2.690 2.618 2.413 0.720 
4.750 5.010 -0.932 -0.323 -0.060 0.290 0.732 1.046 1.431 1.680 1.993 2.174 2.379 2.579 2.769 2.707 2.601 2.530 2.325 0.634 
4.750 6.310 -1.016 -0.413 -0.150 0.199 0.641 0.954 1.339 1.588 1.900 2.082 2.285 2.485 2.674 2.612 2.507 2.435 2.231 0.542 
4.750 7.940 -1.103 -0.508 -0.245 0.105 0.546 0.859 1.244 1.492 1.803 1.984 2.187 2.386 2.575 2.512 2.407 2.335 2.131 0.445 
4.750 10.000 -1.191 -0.605 -0.342 0.007 0.448 0.761 1.145 1.392 1.703 1.883 2.085 2.283 2.471 2.408 2.302 2.231 2.028 0.344 
4.750 12.590 -1.281 -0.704 -0.441 -0.092 0.348 0.660 1.043 1.290 1.599 1.779 1.979 2.177 2.363 2.300 2.194 2.123 1.921 0.241 
4.750 15.850 -1.372 -0.804 -0.542 -0.193 0.246 0.557 0.940 1.185 1.493 1.671 1.870 2.067 2.252 2.188 2.082 2.011 1.810 0.136 
4.750 19.950 -1.463 -0.906 -0.644 -0.296 0.142 0.452 0.834 1.079 1.385 1.561 1.758 1.953 2.136 2.072 1.966 1.895 1.695 0.027 
4.750 25.120 -1.555 -1.009 -0.747 -0.400 0.036 0.346 0.726 0.969 1.273 1.447 1.641 1.834 2.015 1.950 1.844 1.773 1.575 -0.084 
4.750 31.620 -1.648 -1.113 -0.852 -0.506 -0.071 0.237 0.616 0.857 1.158 1.330 1.520 1.711 1.889 1.823 1.716 1.646 1.450 -0.199 
4.750 39.810 -1.742 -1.219 -0.958 -0.613 -0.181 0.125 0.502 0.741 1.038 1.207 1.394 1.581 1.755 1.688 1.581 1.511 1.318 -0.318 
4.750 50.120 -1.837 -1.327 -1.066 -0.722 -0.294 0.011 0.385 0.621 0.913 1.078 1.260 1.443 1.613 1.544 1.437 1.367 1.178 -0.442 
4.750 63.100 -1.934 -1.436 -1.176 -0.834 -0.409 -0.108 0.264 0.495 0.782 0.942 1.117 1.295 1.459 1.389 1.281 1.211 1.027 -0.572 
4.750 79.430 -2.033 -1.548 -1.289 -0.949 -0.529 -0.231 0.136 0.363 0.642 0.797 0.963 1.135 1.292 1.219 1.110 1.041 0.863 -0.711 
4.750 100.000 -2.135 -1.663 -1.405 -1.068 -0.655 -0.361 0.002 0.222 0.492 0.639 0.795 0.959 1.107 1.031 0.921 0.853 0.682 -0.859 
4.750 125.890 -2.241 -1.782 -1.526 -1.191 -0.787 -0.498 -0.142 0.071 0.329 0.467 0.609 0.764 0.900 0.820 0.709 0.641 0.480 -1.020 
4.750 158.490 -2.352 -1.906 -1.651 -1.321 -0.927 -0.645 -0.297 -0.094 0.150 0.275 0.401 0.544 0.665 0.580 0.468 0.401 0.251 -1.196 
4.750 199.530 -2.469 -2.037 -1.784 -1.459 -1.077 -0.804 -0.465 -0.275 -0.049 0.061 0.166 0.292 0.395 0.304 0.190 0.125 -0.010 -1.393 
4.750 251.190 -2.593 -2.175 -1.925 -1.607 -1.241 -0.979 -0.652 -0.477 -0.275 -0.184 -0.105 0.002 0.081 -0.018 -0.133 -0.197 -0.314 -1.614 
4.750 316.230 -2.728 -2.323 -2.076 -1.767 -1.421 -1.172 -0.862 -0.706 -0.533 -0.466 -0.421 -0.338 -0.288 -0.397 -0.515 -0.577 -0.670 -1.867 
4.750 398.110 -2.874 -2.484 -2.241 -1.942 -1.621 -1.390 -1.099 -0.968 -0.832 -0.795 -0.792 -0.740 -0.727 -0.848 -0.969 -1.029 -1.093 -2.159 
4.750 501.190 -3.037 -2.660 -2.422 -2.137 -1.848 -1.639 -1.372 -1.272 -1.182 -1.184 -1.233 -1.221 -1.254 -1.390 -1.516 -1.572 -1.599 -2.502 
4.750 630.960 -3.219 -2.856 -2.625 -2.356 -2.108 -1.926 -1.690 -1.629 -1.598 -1.647 -1.762 -1.800 -1.891 -2.047 -2.178 -2.230 -2.210 -2.907 
4.750 794.330 -3.426 -3.077 -2.854 -2.606 -2.409 -2.261 -2.065 -2.053 -2.095 -2.205 -2.403 -2.502 -2.668 -2.848 -2.985 -3.033 -2.954 -3.390 
4.750 1000.000 -3.664 -3.329 -3.116 -2.896 -2.762 -2.657 -2.510 -2.560 -2.695 -2.881 -3.184 -3.361 -3.619 -3.830 -3.976 -4.017 -3.864 -3.974 
5.000 1.000 -0.421 0.210 0.465 0.804 1.236 1.540 1.913 2.151 2.457 2.632 2.834 3.024 3.206 3.150 3.047 2.977 2.771 1.106 
5.000 1.260 -0.435 0.194 0.449 0.788 1.220 1.524 1.897 2.135 2.440 2.616 2.817 3.008 3.190 3.133 3.030 2.961 2.755 1.090 
5.000 1.580 -0.456 0.171 0.426 0.765 1.196 1.501 1.874 2.112 2.417 2.592 2.793 2.984 3.166 3.109 3.006 2.937 2.731 1.066 
5.000 2.000 -0.486 0.138 0.393 0.732 1.163 1.468 1.841 2.079 2.384 2.559 2.760 2.951 3.132 3.076 2.973 2.903 2.698 1.033 
5.000 2.510 -0.526 0.095 0.350 0.689 1.120 1.424 1.797 2.035 2.340 2.515 2.716 2.906 3.088 3.031 2.928 2.859 2.653 0.989 
5.000 3.160 -0.576 0.040 0.295 0.634 1.065 1.369 1.742 1.979 2.284 2.459 2.660 2.850 3.031 2.974 2.872 2.802 2.597 0.933 
5.000 3.980 -0.638 -0.026 0.229 0.568 0.998 1.302 1.675 1.912 2.217 2.391 2.592 2.782 2.963 2.906 2.803 2.734 2.528 0.866 
5.000 5.010 -0.708 -0.102 0.153 0.492 0.922 1.226 1.598 1.836 2.140 2.314 2.514 2.704 2.884 2.827 2.724 2.655 2.450 0.789 
5.000 6.310 -0.785 -0.185 0.070 0.408 0.838 1.142 1.514 1.751 2.054 2.228 2.428 2.617 2.797 2.740 2.637 2.567 2.363 0.704 
5.000 7.940 -0.867 -0.275 -0.020 0.318 0.748 1.051 1.423 1.659 1.962 2.135 2.334 2.523 2.702 2.645 2.542 2.472 2.268 0.612 
5.000 10.000 -0.953 -0.368 -0.114 0.224 0.653 0.956 1.327 1.563 1.865 2.037 2.235 2.423 2.602 2.544 2.441 2.372 2.168 0.515 
5.000 12.590 -1.041 -0.465 -0.211 0.127 0.555 0.858 1.228 1.463 1.764 1.935 2.132 2.319 2.496 2.438 2.335 2.266 2.063 0.414 
5.000 15.850 -1.130 -0.564 -0.310 0.027 0.454 0.756 1.126 1.360 1.659 1.830 2.025 2.210 2.386 2.328 2.224 2.155 1.954 0.310 
5.000 19.950 -1.221 -0.665 -0.411 -0.075 0.351 0.652 1.021 1.254 1.552 1.720 1.913 2.098 2.271 2.212 2.109 2.040 1.840 0.202 
5.000 25.120 -1.313 -0.768 -0.514 -0.178 0.246 0.546 0.914 1.145 1.440 1.607 1.798 1.980 2.152 2.092 1.988 1.919 1.721 0.092 
5.000 31.620 -1.406 -0.872 -0.618 -0.283 0.139 0.438 0.804 1.033 1.326 1.490 1.677 1.857 2.026 1.965 1.861 1.792 1.596 -0.023 
5.000 39.810 -1.499 -0.977 -0.724 -0.390 0.030 0.327 0.691 0.918 1.206 1.368 1.550 1.727 1.892 1.830 1.726 1.657 1.465 -0.142 
5.000 50.120 -1.594 -1.085 -0.832 -0.499 -0.083 0.212 0.574 0.798 1.082 1.239 1.417 1.590 1.750 1.686 1.582 1.513 1.324 -0.265 
5.000 63.100 -1.691 -1.194 -0.942 -0.611 -0.198 0.094 0.452 0.672 0.950 1.103 1.274 1.442 1.597 1.531 1.426 1.358 1.174 -0.396 
5.000 79.430 -1.790 -1.306 -1.055 -0.726 -0.318 -0.030 0.325 0.540 0.811 0.958 1.120 1.282 1.429 1.361 1.255 1.188 1.009 -0.534 
5.000 100.000 -1.893 -1.421 -1.171 -0.845 -0.443 -0.159 0.190 0.399 0.661 0.800 0.952 1.106 1.244 1.173 1.066 1.000 0.829 -0.682 
5.000 125.890 -1.998 -1.540 -1.291 -0.968 -0.575 -0.296 0.047 0.248 0.498 0.628 0.767 0.911 1.037 0.962 0.854 0.788 0.627 -0.843 
5.000 158.490 -2.109 -1.664 -1.417 -1.098 -0.715 -0.443 -0.108 0.084 0.319 0.436 0.559 0.690 0.802 0.722 0.613 0.548 0.398 -1.019 
5.000 199.530 -2.226 -1.795 -1.549 -1.236 -0.866 -0.602 -0.277 -0.098 0.119 0.222 0.323 0.439 0.532 0.446 0.335 0.272 0.137 -1.216 
5.000 251.190 -2.351 -1.933 -1.690 -1.384 -1.029 -0.777 -0.463 -0.300 -0.106 -0.023 0.052 0.148 0.218 0.124 0.012 -0.050 -0.167 -1.437 
5.000 316.230 -2.485 -2.081 -1.842 -1.543 -1.209 -0.970 -0.673 -0.529 -0.364 -0.305 -0.263 -0.192 -0.151 -0.255 -0.370 -0.430 -0.523 -1.690 
