GarciaEtAl2005SSlab_CanadaSHM6-trial modified from OpenQuake implementation, distance is rhypo. Log10 ground motion values in cgs units, PGV and Sa(T<0.1s) not valid
          14 31 18 : nmag, ndist, nperiod
          10.000 5.000 4.000 3.000 2.000 1.500 1.000 0.750 0.500 0.400 0.300 0.200 0.100 0.070 0.050 0.040 PGA PGV 
          0.567 0.567 0.583 0.605 0.607 0.645 0.638 0.631 0.609 0.626 0.637 0.644 0.770 0.775 0.773 0.733 0.657 0.593
4.750 1.000 -0.229 0.445 0.727 1.088 1.515 1.789 2.116 2.311 2.571 2.710 2.869 2.990 3.111 3.047 2.976 2.937 2.796 1.243 
4.750 1.260 -0.252 0.419 0.701 1.063 1.490 1.765 2.094 2.290 2.551 2.691 2.850 2.972 3.092 3.027 2.956 2.916 2.775 1.220 
4.750 1.580 -0.285 0.384 0.666 1.028 1.456 1.733 2.063 2.261 2.523 2.664 2.824 2.946 3.066 3.000 2.928 2.888 2.745 1.190 
4.750 2.000 -0.328 0.338 0.619 0.982 1.411 1.690 2.023 2.223 2.487 2.628 2.789 2.911 3.031 2.965 2.891 2.850 2.706 1.149 
4.750 2.510 -0.382 0.280 0.562 0.924 1.355 1.636 1.973 2.175 2.440 2.583 2.744 2.868 2.987 2.920 2.844 2.802 2.658 1.098 
4.750 3.160 -0.446 0.211 0.493 0.856 1.289 1.572 1.913 2.118 2.385 2.529 2.692 2.816 2.934 2.866 2.788 2.745 2.599 1.038 
4.750 3.980 -0.519 0.133 0.415 0.778 1.213 1.500 1.845 2.052 2.322 2.467 2.630 2.756 2.873 2.803 2.724 2.679 2.532 0.968 
4.750 5.010 -0.598 0.048 0.330 0.694 1.130 1.420 1.770 1.980 2.252 2.398 2.562 2.689 2.805 2.734 2.652 2.606 2.458 0.892 
4.750 6.310 -0.682 -0.042 0.240 0.604 1.042 1.335 1.689 1.902 2.176 2.323 2.488 2.616 2.730 2.658 2.574 2.526 2.377 0.810 
4.750 7.940 -0.769 -0.136 0.146 0.510 0.949 1.245 1.603 1.819 2.095 2.243 2.409 2.537 2.650 2.576 2.490 2.441 2.291 0.723 
4.750 10.000 -0.857 -0.233 0.049 0.413 0.854 1.152 1.514 1.732 2.010 2.158 2.324 2.454 2.565 2.489 2.401 2.351 2.200 0.632 
4.750 12.590 -0.947 -0.332 -0.050 0.314 0.756 1.056 1.422 1.641 1.920 2.069 2.235 2.365 2.474 2.397 2.307 2.256 2.104 0.537 
4.750 15.850 -1.038 -0.433 -0.151 0.213 0.656 0.958 1.326 1.547 1.827 1.976 2.141 2.270 2.378 2.299 2.208 2.155 2.004 0.439 
4.750 19.950 -1.129 -0.535 -0.253 0.111 0.554 0.857 1.228 1.449 1.729 1.878 2.042 2.171 2.275 2.196 2.103 2.049 1.898 0.337 
4.750 25.120 -1.221 -0.638 -0.356 0.007 0.450 0.754 1.126 1.348 1.627 1.774 1.937 2.065 2.167 2.085 1.991 1.937 1.787 0.232 
4.750 31.620 -1.314 -0.742 -0.461 -0.098 0.343 0.648 1.021 1.242 1.520 1.666 1.826 1.952 2.050 1.968 1.872 1.817 1.668 0.122 
4.750 39.810 -1.408 -0.848 -0.567 -0.205 0.235 0.539 0.912 1.132 1.407 1.551 1.707 1.831 1.925 1.841 1.744 1.689 1.542 0.008 
4.750 50.120 -1.503 -0.955 -0.675 -0.314 0.123 0.427 0.798 1.017 1.288 1.428 1.580 1.700 1.790 1.703 1.605 1.550 1.407 -0.113 
4.750 63.100 -1.600 -1.065 -0.785 -0.426 0.008 0.310 0.680 0.895 1.161 1.297 1.443 1.558 1.642 1.553 1.454 1.398 1.259 -0.240 
4.750 79.430 -1.699 -1.177 -0.898 -0.541 -0.111 0.188 0.555 0.766 1.025 1.155 1.293 1.402 1.479 1.387 1.287 1.232 1.098 -0.377 
4.750 100.000 -1.801 -1.292 -1.014 -0.660 -0.236 0.059 0.422 0.627 0.878 1.001 1.128 1.230 1.297 1.202 1.100 1.046 0.919 -0.523 
4.750 125.890 -1.907 -1.411 -1.134 -0.783 -0.368 -0.078 0.280 0.478 0.717 0.831 0.945 1.037 1.092 0.993 0.890 0.836 0.719 -0.683 
4.750 158.490 -2.018 -1.535 -1.260 -0.913 -0.507 -0.224 0.126 0.315 0.539 0.641 0.739 0.819 0.859 0.755 0.651 0.597 0.492 -0.858 
4.750 199.530 -2.134 -1.666 -1.392 -1.051 -0.658 -0.383 -0.042 0.134 0.341 0.427 0.504 0.568 0.590 0.480 0.374 0.322 0.231 -1.054 
4.750 251.190 -2.259 -1.804 -1.533 -1.198 -0.821 -0.557 -0.229 -0.068 0.116 0.183 0.234 0.279 0.277 0.159 0.051 0.000 -0.072 -1.275 
4.750 316.230 -2.393 -1.952 -1.685 -1.358 -1.001 -0.750 -0.438 -0.296 -0.142 -0.099 -0.081 -0.061 -0.092 -0.219 -0.330 -0.379 -0.428 -1.528 
4.750 398.110 -2.540 -2.113 -1.849 -1.534 -1.202 -0.968 -0.675 -0.558 -0.441 -0.428 -0.452 -0.463 -0.531 -0.670 -0.785 -0.831 -0.850 -1.820 
4.750 501.190 -2.703 -2.289 -2.031 -1.728 -1.429 -1.217 -0.948 -0.862 -0.791 -0.816 -0.893 -0.943 -1.057 -1.213 -1.331 -1.374 -1.357 -2.162 
4.750 630.960 -2.885 -2.485 -2.233 -1.948 -1.688 -1.503 -1.266 -1.219 -1.207 -1.280 -1.423 -1.522 -1.694 -1.869 -1.993 -2.032 -1.968 -2.567 
4.750 794.330 -3.092 -2.706 -2.462 -2.198 -1.989 -1.839 -1.641 -1.643 -1.704 -1.837 -2.063 -2.225 -2.471 -2.670 -2.800 -2.835 -2.711 -3.051 
4.750 1000.000 -3.330 -2.958 -2.725 -2.487 -2.342 -2.235 -2.086 -2.150 -2.303 -2.513 -2.844 -3.084 -3.422 -3.652 -3.791 -3.819 -3.622 -3.635 
5.000 1.000 -0.087 0.582 0.855 1.205 1.619 1.881 2.193 2.375 2.624 2.755 2.909 3.018 3.130 3.071 3.004 2.968 2.828 1.308 
5.000 1.260 -0.101 0.565 0.839 1.189 1.603 1.867 2.179 2.362 2.611 2.743 2.897 3.007 3.118 3.059 2.992 2.955 2.814 1.294 
5.000 1.580 -0.122 0.542 0.816 1.166 1.581 1.845 2.159 2.343 2.593 2.725 2.879 2.989 3.101 3.041 2.973 2.936 2.795 1.273 
5.000 2.000 -0.152 0.509 0.783 1.134 1.549 1.815 2.131 2.316 2.568 2.700 2.855 2.966 3.077 3.016 2.947 2.910 2.768 1.245 
5.000 2.510 -0.192 0.466 0.740 1.090 1.507 1.775 2.093 2.280 2.533 2.666 2.822 2.934 3.044 2.983 2.912 2.874 2.731 1.207 
5.000 3.160 -0.242 0.411 0.685 1.036 1.454 1.724 2.046 2.235 2.490 2.624 2.780 2.893 3.002 2.940 2.868 2.829 2.685 1.159 
5.000 3.980 -0.304 0.345 0.619 0.970 1.390 1.663 1.988 2.180 2.437 2.572 2.729 2.843 2.951 2.888 2.814 2.773 2.629 1.100 
5.000 5.010 -0.374 0.269 0.543 0.895 1.316 1.592 1.922 2.116 2.375 2.512 2.670 2.784 2.892 2.827 2.751 2.709 2.563 1.033 
5.000 6.310 -0.451 0.186 0.460 0.812 1.235 1.514 1.848 2.045 2.307 2.444 2.603 2.718 2.824 2.758 2.680 2.637 2.490 0.958 
5.000 7.940 -0.533 0.097 0.371 0.722 1.148 1.429 1.768 1.968 2.231 2.370 2.530 2.646 2.750 2.683 2.603 2.558 2.409 0.876 
5.000 10.000 -0.619 0.003 0.277 0.629 1.056 1.340 1.683 1.885 2.151 2.290 2.451 2.567 2.670 2.601 2.519 2.472 2.323 0.789 
5.000 12.590 -0.707 -0.094 0.180 0.532 0.960 1.247 1.594 1.799 2.066 2.205 2.366 2.483 2.584 2.513 2.429 2.381 2.231 0.698 
5.000 15.850 -0.796 -0.193 0.081 0.433 0.862 1.151 1.502 1.708 1.976 2.116 2.276 2.393 2.492 2.420 2.333 2.284 2.134 0.603 
5.000 19.950 -0.887 -0.294 -0.020 0.332 0.761 1.052 1.406 1.613 1.882 2.021 2.181 2.297 2.394 2.320 2.231 2.181 2.031 0.504 
5.000 25.120 -0.979 -0.397 -0.123 0.229 0.658 0.951 1.306 1.514 1.782 1.921 2.079 2.195 2.288 2.213 2.123 2.071 1.922 0.400 
5.000 31.620 -1.072 -0.501 -0.227 0.124 0.553 0.846 1.203 1.411 1.678 1.815 1.971 2.085 2.175 2.098 2.006 1.954 1.806 0.292 
5.000 39.810 -1.165 -0.606 -0.333 0.017 0.444 0.738 1.095 1.303 1.568 1.703 1.855 1.967 2.053 1.974 1.880 1.828 1.682 0.179 
5.000 50.120 -1.260 -0.713 -0.441 -0.092 0.333 0.626 0.983 1.189 1.450 1.582 1.730 1.839 1.919 1.838 1.744 1.691 1.548 0.060 
5.000 63.100 -1.357 -0.823 -0.551 -0.203 0.219 0.510 0.866 1.068 1.325 1.453 1.595 1.699 1.773 1.690 1.594 1.541 1.402 -0.067 
5.000 79.430 -1.456 -0.935 -0.663 -0.318 0.099 0.388 0.741 0.940 1.191 1.313 1.446 1.545 1.612 1.526 1.428 1.375 1.242 -0.202 
5.000 100.000 -1.559 -1.050 -0.780 -0.437 -0.025 0.260 0.609 0.803 1.044 1.159 1.283 1.374 1.431 1.342 1.243 1.191 1.064 -0.348 
5.000 125.890 -1.664 -1.169 -0.900 -0.560 -0.156 0.124 0.468 0.654 0.884 0.990 1.101 1.182 1.228 1.134 1.034 0.982 0.865 -0.507 
5.000 158.490 -1.775 -1.293 -1.026 -0.690 -0.296 -0.022 0.314 0.491 0.707 0.801 0.895 0.964 0.995 0.897 0.795 0.744 0.638 -0.682 
5.000 199.530 -1.892 -1.423 -1.158 -0.828 -0.446 -0.181 0.146 0.311 0.509 0.588 0.661 0.715 0.727 0.622 0.519 0.468 0.377 -0.878 
5.000 251.190 -2.017 -1.562 -1.299 -0.975 -0.610 -0.355 -0.040 0.109 0.284 0.344 0.391 0.425 0.414 0.301 0.196 0.147 0.075 -1.099 
5.000 316.230 -2.151 -1.710 -1.450 -1.135 -0.790 -0.549 -0.249 -0.119 0.027 0.062 0.076 0.086 0.045 -0.077 -0.185 -0.232 -0.281 -1.351 
