GarciaEtAl2005SSlab_CanadaSHM6-trial modified from OpenQuake implementation, distance is rhypo. Log10 ground motion values in cgs units, PGV and Sa(T<0.1s) not valid
          14 31 18 : nmag, ndist, nperiod
          10.000 5.000 4.000 3.000 2.000 1.500 1.000 0.750 0.500 0.400 0.300 0.200 0.100 0.070 0.050 0.040 PGA PGV 
          0.567 0.567 0.583 0.605 0.607 0.645 0.638 0.631 0.609 0.626 0.637 0.644 0.770 0.775 0.773 0.733 0.657 0.593
4.750 1.000 -0.466 0.182 0.450 0.804 1.246 1.560 1.944 2.185 2.488 2.661 2.854 3.031 3.196 3.133 3.037 2.975 2.784 1.124 
4.750 1.260 -0.489 0.156 0.425 0.778 1.221 1.535 1.918 2.160 2.463 2.635 2.829 3.006 3.171 3.108 3.012 2.949 2.758 1.099 
4.750 1.580 -0.522 0.121 0.389 0.743 1.186 1.500 1.883 2.125 2.428 2.601 2.794 2.971 3.137 3.073 2.977 2.914 2.723 1.064 
4.750 2.000 -0.565 0.074 0.343 0.696 1.139 1.453 1.837 2.079 2.382 2.555 2.748 2.926 3.091 3.027 2.931 2.868 2.677 1.017 
4.750 2.510 -0.619 0.017 0.285 0.639 1.082 1.396 1.779 2.021 2.325 2.497 2.691 2.869 3.034 2.970 2.873 2.809 2.619 0.959 
4.750 3.160 -0.683 -0.052 0.216 0.570 1.013 1.327 1.711 1.953 2.256 2.429 2.623 2.801 2.966 2.902 2.804 2.740 2.549 0.890 
4.750 3.980 -0.756 -0.130 0.139 0.492 0.935 1.249 1.633 1.875 2.179 2.352 2.545 2.724 2.889 2.824 2.726 2.662 2.471 0.812 
4.750 5.010 -0.835 -0.215 0.053 0.407 0.850 1.164 1.548 1.790 2.094 2.267 2.460 2.638 2.803 2.738 2.639 2.575 2.384 0.726 
4.750 6.310 -0.919 -0.305 -0.037 0.317 0.760 1.073 1.457 1.699 2.003 2.176 2.368 2.547 2.711 2.646 2.546 2.482 2.291 0.635 
4.750 7.940 -1.005 -0.400 -0.131 0.222 0.665 0.978 1.362 1.604 1.908 2.080 2.272 2.451 2.615 2.548 2.448 2.383 2.193 0.539 
4.750 10.000 -1.094 -0.497 -0.228 0.125 0.568 0.881 1.264 1.506 1.809 1.980 2.172 2.350 2.513 2.447 2.346 2.281 2.091 0.439 
4.750 12.590 -1.184 -0.596 -0.327 0.026 0.468 0.780 1.163 1.404 1.707 1.878 2.068 2.246 2.408 2.341 2.239 2.174 1.985 0.337 
4.750 15.850 -1.275 -0.696 -0.428 -0.075 0.366 0.678 1.060 1.301 1.602 1.772 1.961 2.138 2.299 2.231 2.129 2.063 1.875 0.231 
4.750 19.950 -1.366 -0.798 -0.530 -0.178 0.262 0.573 0.955 1.195 1.494 1.663 1.850 2.026 2.185 2.116 2.014 1.948 1.761 0.124 
4.750 25.120 -1.458 -0.901 -0.633 -0.282 0.157 0.467 0.848 1.086 1.383 1.550 1.735 1.909 2.066 1.996 1.893 1.827 1.643 0.013 
4.750 31.620 -1.551 -1.005 -0.738 -0.387 0.050 0.358 0.738 0.974 1.269 1.433 1.615 1.787 1.941 1.870 1.767 1.701 1.518 -0.102 
4.750 39.810 -1.645 -1.111 -0.844 -0.494 -0.060 0.247 0.624 0.858 1.150 1.312 1.490 1.658 1.809 1.736 1.632 1.566 1.387 -0.220 
4.750 50.120 -1.740 -1.219 -0.952 -0.603 -0.172 0.133 0.508 0.739 1.025 1.184 1.356 1.521 1.667 1.593 1.489 1.423 1.247 -0.344 
4.750 63.100 -1.837 -1.328 -1.062 -0.715 -0.288 0.014 0.386 0.613 0.894 1.048 1.214 1.374 1.515 1.439 1.333 1.268 1.096 -0.474 
4.750 79.430 -1.936 -1.440 -1.175 -0.830 -0.408 -0.109 0.259 0.481 0.755 0.903 1.061 1.215 1.348 1.269 1.163 1.098 0.933 -0.612 
4.750 100.000 -2.038 -1.555 -1.291 -0.949 -0.533 -0.238 0.125 0.341 0.606 0.745 0.893 1.039 1.163 1.081 0.974 0.910 0.752 -0.761 
4.750 125.890 -2.144 -1.674 -1.412 -1.073 -0.665 -0.376 -0.019 0.190 0.443 0.573 0.708 0.844 0.956 0.871 0.762 0.699 0.550 -0.921 
4.750 158.490 -2.255 -1.799 -1.538 -1.203 -0.805 -0.523 -0.173 0.025 0.264 0.382 0.500 0.624 0.722 0.631 0.522 0.459 0.322 -1.098 
4.750 199.530 -2.371 -1.929 -1.670 -1.340 -0.955 -0.682 -0.342 -0.156 0.064 0.167 0.264 0.373 0.452 0.355 0.244 0.182 0.060 -1.294 
4.750 251.190 -2.496 -2.067 -1.811 -1.488 -1.119 -0.856 -0.529 -0.358 -0.161 -0.077 -0.007 0.082 0.138 0.034 -0.080 -0.140 -0.243 -1.516 
4.750 316.230 -2.630 -2.215 -1.962 -1.648 -1.299 -1.050 -0.738 -0.587 -0.419 -0.359 -0.322 -0.258 -0.231 -0.345 -0.461 -0.519 -0.600 -1.768 
4.750 398.110 -2.777 -2.376 -2.127 -1.823 -1.499 -1.267 -0.976 -0.849 -0.718 -0.689 -0.693 -0.660 -0.670 -0.796 -0.916 -0.971 -1.022 -2.061 
4.750 501.190 -2.940 -2.552 -2.308 -2.018 -1.726 -1.516 -1.249 -1.153 -1.069 -1.077 -1.134 -1.140 -1.197 -1.339 -1.462 -1.515 -1.528 -2.403 
4.750 630.960 -3.122 -2.748 -2.511 -2.237 -1.986 -1.803 -1.567 -1.510 -1.484 -1.541 -1.664 -1.719 -1.834 -1.995 -2.124 -2.173 -2.140 -2.808 
4.750 794.330 -3.329 -2.969 -2.740 -2.488 -2.287 -2.138 -1.941 -1.933 -1.981 -2.098 -2.304 -2.422 -2.610 -2.796 -2.931 -2.975 -2.883 -3.292 
4.750 1000.000 -3.567 -3.221 -3.002 -2.777 -2.640 -2.534 -2.387 -2.441 -2.581 -2.774 -3.085 -3.281 -3.562 -3.779 -3.922 -3.960 -3.794 -3.875 
5.000 1.000 -0.324 0.318 0.579 0.921 1.352 1.656 2.026 2.255 2.549 2.714 2.903 3.069 3.224 3.166 3.074 3.013 2.822 1.194 
5.000 1.260 -0.338 0.302 0.563 0.905 1.335 1.640 2.010 2.239 2.533 2.698 2.887 3.053 3.209 3.150 3.058 2.997 2.806 1.178 
5.000 1.580 -0.359 0.279 0.539 0.881 1.312 1.616 1.986 2.216 2.510 2.675 2.864 3.030 3.186 3.127 3.034 2.973 2.783 1.155 
5.000 2.000 -0.389 0.246 0.507 0.849 1.280 1.584 1.954 2.184 2.478 2.643 2.831 2.998 3.153 3.095 3.002 2.941 2.750 1.122 
5.000 2.510 -0.428 0.203 0.463 0.805 1.236 1.541 1.911 2.141 2.435 2.600 2.788 2.955 3.111 3.052 2.958 2.897 2.706 1.079 
5.000 3.160 -0.479 0.148 0.408 0.751 1.181 1.486 1.856 2.086 2.380 2.545 2.734 2.901 3.056 2.997 2.903 2.842 2.651 1.023 
5.000 3.980 -0.540 0.082 0.342 0.685 1.116 1.420 1.790 2.020 2.314 2.479 2.668 2.835 2.990 2.931 2.836 2.775 2.584 0.957 
5.000 5.010 -0.611 0.006 0.267 0.609 1.040 1.344 1.714 1.944 2.239 2.403 2.592 2.759 2.914 2.855 2.759 2.697 2.507 0.881 
5.000 6.310 -0.688 -0.077 0.183 0.525 0.956 1.260 1.630 1.860 2.155 2.319 2.508 2.675 2.830 2.770 2.674 2.611 2.421 0.796 
5.000 7.940 -0.770 -0.167 0.094 0.436 0.867 1.170 1.540 1.770 2.064 2.229 2.417 2.584 2.738 2.677 2.581 2.518 2.328 0.705 
5.000 10.000 -0.856 -0.260 -0.000 0.342 0.772 1.076 1.446 1.675 1.969 2.133 2.320 2.487 2.641 2.579 2.482 2.419 2.229 0.609 
5.000 12.590 -0.944 -0.357 -0.097 0.245 0.675 0.977 1.347 1.576 1.869 2.032 2.219 2.385 2.538 2.476 2.378 2.315 2.126 0.509 
5.000 15.850 -1.033 -0.456 -0.196 0.145 0.574 0.877 1.246 1.474 1.766 1.928 2.114 2.279 2.430 2.368 2.269 2.205 2.018 0.405 
5.000 19.950 -1.124 -0.557 -0.297 0.044 0.472 0.773 1.142 1.369 1.660 1.820 2.004 2.168 2.318 2.254 2.155 2.091 1.905 0.298 
5.000 25.120 -1.216 -0.660 -0.400 -0.060 0.367 0.667 1.035 1.261 1.550 1.709 1.890 2.053 2.200 2.136 2.036 1.972 1.787 0.188 
5.000 31.620 -1.308 -0.764 -0.504 -0.165 0.260 0.559 0.925 1.150 1.436 1.593 1.771 1.931 2.076 2.010 1.910 1.846 1.663 0.074 
5.000 39.810 -1.402 -0.869 -0.610 -0.272 0.151 0.448 0.813 1.035 1.317 1.471 1.645 1.803 1.944 1.877 1.776 1.712 1.533 -0.044 
5.000 50.120 -1.497 -0.977 -0.718 -0.381 0.039 0.334 0.696 0.915 1.193 1.344 1.513 1.667 1.803 1.734 1.633 1.569 1.393 -0.168 
5.000 63.100 -1.594 -1.086 -0.828 -0.492 -0.077 0.216 0.575 0.790 1.062 1.208 1.371 1.520 1.651 1.580 1.477 1.414 1.243 -0.298 
5.000 79.430 -1.693 -1.198 -0.941 -0.607 -0.197 0.093 0.448 0.658 0.923 1.063 1.217 1.361 1.484 1.411 1.308 1.244 1.079 -0.436 
5.000 100.000 -1.795 -1.313 -1.057 -0.726 -0.322 -0.037 0.313 0.518 0.774 0.906 1.050 1.186 1.300 1.223 1.119 1.056 0.898 -0.584 
5.000 125.890 -1.901 -1.432 -1.177 -0.850 -0.453 -0.174 0.170 0.367 0.611 0.734 0.865 0.991 1.093 1.013 0.907 0.845 0.697 -0.744 
5.000 158.490 -2.012 -1.556 -1.303 -0.980 -0.593 -0.321 0.015 0.203 0.432 0.543 0.657 0.771 0.859 0.773 0.666 0.605 0.468 -0.921 
5.000 199.530 -2.129 -1.687 -1.436 -1.117 -0.744 -0.480 -0.153 0.021 0.233 0.328 0.421 0.519 0.589 0.498 0.389 0.329 0.207 -1.117 
5.000 251.190 -2.254 -1.825 -1.576 -1.265 -0.907 -0.654 -0.340 -0.181 0.007 0.084 0.151 0.229 0.275 0.176 0.065 0.007 -0.097 -1.339 
5.000 316.230 -2.388 -1.973 -1.728 -1.425 -1.087 -0.848 -0.549 -0.409 -0.251 -0.198 -0.165 -0.111 -0.094 -0.203 -0.316 -0.372 -0.453 -1.591 
