GarciaEtAl2005SSlab_CanadaSHM6-trial modified from OpenQuake implementation, distance is rhypo. Log10 ground motion values in cgs units, PGV and Sa(T<0.1s) not valid
          14 31 18 : nmag, ndist, nperiod
          10.000 5.000 4.000 3.000 2.000 1.500 1.000 0.750 0.500 0.400 0.300 0.200 0.100 0.070 0.050 0.040 PGA PGV 
          0.567 0.567 0.583 0.605 0.607 0.645 0.638 0.631 0.609 0.626 0.637 0.644 0.770 0.775 0.773 0.733 0.657 0.593
4.750 1.000 -0.250 0.346 0.627 0.989 1.413 1.703 2.031 2.230 2.512 2.631 2.801 2.888 2.995 2.915 2.853 2.819 2.642 1.136 
4.750 1.260 -0.273 0.321 0.602 0.964 1.388 1.679 2.007 2.207 2.490 2.609 2.779 2.867 2.973 2.894 2.831 2.796 2.619 1.112 
4.750 1.580 -0.306 0.285 0.566 0.929 1.353 1.645 1.974 2.175 2.459 2.579 2.749 2.837 2.944 2.863 2.800 2.764 2.587 1.079 
4.750 2.000 -0.349 0.239 0.520 0.882 1.308 1.600 1.931 2.133 2.418 2.538 2.709 2.798 2.904 2.823 2.758 2.722 2.545 1.036 
4.750 2.510 -0.403 0.181 0.462 0.825 1.251 1.545 1.877 2.080 2.366 2.487 2.659 2.748 2.854 2.773 2.707 2.670 2.492 0.981 
4.750 3.160 -0.467 0.112 0.394 0.756 1.184 1.479 1.813 2.017 2.305 2.426 2.599 2.689 2.795 2.712 2.645 2.607 2.428 0.916 
4.750 3.980 -0.540 0.035 0.316 0.679 1.107 1.403 1.740 1.945 2.234 2.357 2.530 2.621 2.726 2.643 2.574 2.535 2.355 0.842 
4.750 5.010 -0.619 -0.050 0.231 0.594 1.023 1.321 1.659 1.866 2.157 2.280 2.453 2.545 2.650 2.565 2.495 2.455 2.275 0.761 
4.750 6.310 -0.703 -0.141 0.140 0.504 0.934 1.233 1.573 1.781 2.073 2.196 2.370 2.463 2.567 2.481 2.409 2.368 2.188 0.674 
4.750 7.940 -0.789 -0.235 0.046 0.410 0.840 1.140 1.482 1.692 1.984 2.108 2.282 2.375 2.478 2.392 2.318 2.276 2.096 0.582 
4.750 10.000 -0.878 -0.332 -0.051 0.312 0.744 1.044 1.388 1.598 1.891 2.015 2.189 2.282 2.384 2.297 2.222 2.179 1.999 0.486 
4.750 12.590 -0.968 -0.431 -0.150 0.213 0.645 0.946 1.291 1.502 1.795 1.919 2.092 2.185 2.286 2.197 2.121 2.078 1.897 0.387 
4.750 15.850 -1.059 -0.532 -0.251 0.112 0.544 0.845 1.191 1.402 1.695 1.818 1.991 2.083 2.182 2.093 2.015 1.971 1.791 0.284 
4.750 19.950 -1.150 -0.634 -0.353 0.010 0.441 0.742 1.088 1.299 1.591 1.713 1.885 1.976 2.073 1.983 1.904 1.860 1.681 0.179 
4.750 25.120 -1.242 -0.737 -0.456 -0.094 0.336 0.637 0.983 1.193 1.484 1.605 1.774 1.864 1.959 1.867 1.787 1.742 1.565 0.070 
4.750 31.620 -1.335 -0.841 -0.561 -0.199 0.229 0.530 0.875 1.084 1.372 1.491 1.657 1.745 1.837 1.744 1.664 1.618 1.443 -0.043 
4.750 39.810 -1.429 -0.947 -0.667 -0.306 0.120 0.419 0.763 0.970 1.256 1.372 1.534 1.619 1.708 1.613 1.532 1.486 1.314 -0.160 
4.750 50.120 -1.524 -1.054 -0.775 -0.415 0.008 0.306 0.648 0.852 1.133 1.246 1.403 1.485 1.569 1.472 1.390 1.345 1.175 -0.282 
4.750 63.100 -1.621 -1.164 -0.885 -0.527 -0.107 0.188 0.527 0.728 1.004 1.112 1.263 1.340 1.418 1.319 1.236 1.191 1.026 -0.412 
4.750 79.430 -1.720 -1.276 -0.998 -0.642 -0.227 0.065 0.401 0.597 0.866 0.968 1.111 1.182 1.252 1.151 1.067 1.022 0.863 -0.549 
4.750 100.000 -1.822 -1.391 -1.114 -0.761 -0.352 -0.064 0.267 0.457 0.717 0.811 0.944 1.007 1.068 0.964 0.879 0.835 0.683 -0.697 
4.750 125.890 -1.928 -1.510 -1.234 -0.885 -0.484 -0.201 0.124 0.306 0.555 0.640 0.759 0.813 0.862 0.754 0.668 0.624 0.482 -0.857 
4.750 158.490 -2.039 -1.634 -1.360 -1.015 -0.624 -0.348 -0.030 0.142 0.376 0.449 0.552 0.593 0.628 0.515 0.427 0.385 0.254 -1.033 
4.750 199.530 -2.155 -1.764 -1.492 -1.152 -0.774 -0.507 -0.199 -0.039 0.177 0.235 0.317 0.343 0.359 0.240 0.150 0.109 -0.008 -1.229 
4.750 251.190 -2.280 -1.903 -1.633 -1.300 -0.938 -0.681 -0.386 -0.241 -0.048 -0.010 0.046 0.052 0.045 -0.082 -0.173 -0.213 -0.311 -1.451 
4.750 316.230 -2.414 -2.051 -1.785 -1.460 -1.118 -0.875 -0.595 -0.469 -0.306 -0.291 -0.269 -0.288 -0.324 -0.461 -0.555 -0.593 -0.667 -1.703 
4.750 398.110 -2.561 -2.211 -1.949 -1.635 -1.318 -1.093 -0.832 -0.731 -0.605 -0.621 -0.640 -0.690 -0.763 -0.912 -1.009 -1.045 -1.090 -1.996 
4.750 501.190 -2.724 -2.388 -2.131 -1.830 -1.545 -1.341 -1.106 -1.035 -0.956 -1.009 -1.081 -1.170 -1.289 -1.454 -1.555 -1.588 -1.596 -2.338 
4.750 630.960 -2.906 -2.584 -2.333 -2.049 -1.805 -1.628 -1.424 -1.392 -1.371 -1.473 -1.611 -1.749 -1.927 -2.111 -2.217 -2.246 -2.207 -2.743 
4.750 794.330 -3.113 -2.805 -2.562 -2.299 -2.106 -1.963 -1.798 -1.816 -1.868 -2.030 -2.251 -2.452 -2.703 -2.912 -3.025 -3.049 -2.951 -3.227 
4.750 1000.000 -3.351 -3.057 -2.825 -2.589 -2.459 -2.359 -2.243 -2.323 -2.468 -2.706 -3.032 -3.310 -3.654 -3.894 -4.015 -4.033 -3.861 -3.810 
5.000 1.000 -0.108 0.483 0.756 1.106 1.518 1.797 2.110 2.296 2.569 2.680 2.845 2.920 3.018 2.944 2.885 2.853 2.677 1.203 
5.000 1.260 -0.122 0.467 0.740 1.090 1.502 1.782 2.095 2.282 2.555 2.666 2.831 2.907 3.004 2.930 2.871 2.839 2.663 1.188 
5.000 1.580 -0.143 0.443 0.716 1.067 1.479 1.759 2.074 2.261 2.535 2.646 2.811 2.887 2.984 2.910 2.850 2.818 2.641 1.166 
5.000 2.000 -0.173 0.411 0.684 1.035 1.447 1.728 2.043 2.231 2.506 2.617 2.783 2.860 2.957 2.882 2.821 2.788 2.612 1.136 
5.000 2.510 -0.213 0.367 0.640 0.991 1.404 1.686 2.003 2.192 2.467 2.579 2.746 2.823 2.920 2.844 2.783 2.749 2.572 1.095 
5.000 3.160 -0.263 0.312 0.585 0.937 1.350 1.634 1.952 2.142 2.419 2.531 2.698 2.776 2.872 2.796 2.733 2.699 2.521 1.043 
5.000 3.980 -0.324 0.246 0.519 0.871 1.286 1.570 1.890 2.082 2.359 2.473 2.640 2.719 2.815 2.738 2.674 2.638 2.460 0.981 
5.000 5.010 -0.395 0.171 0.444 0.795 1.211 1.497 1.819 2.012 2.291 2.405 2.573 2.652 2.748 2.670 2.604 2.568 2.389 0.909 
5.000 6.310 -0.472 0.087 0.360 0.712 1.129 1.416 1.740 1.934 2.215 2.329 2.498 2.578 2.672 2.593 2.526 2.488 2.309 0.829 
5.000 7.940 -0.554 -0.002 0.271 0.623 1.040 1.328 1.655 1.850 2.132 2.246 2.416 2.496 2.590 2.510 2.441 2.402 2.223 0.742 
5.000 10.000 -0.640 -0.096 0.177 0.529 0.947 1.236 1.564 1.761 2.043 2.158 2.327 2.408 2.501 2.420 2.349 2.310 2.130 0.650 
5.000 12.590 -0.728 -0.193 0.080 0.432 0.851 1.141 1.470 1.667 1.950 2.065 2.234 2.315 2.406 2.324 2.252 2.211 2.032 0.554 
5.000 15.850 -0.817 -0.292 -0.019 0.333 0.751 1.042 1.372 1.570 1.853 1.967 2.135 2.216 2.306 2.222 2.149 2.108 1.928 0.454 
5.000 19.950 -0.908 -0.393 -0.120 0.231 0.649 0.940 1.272 1.469 1.751 1.865 2.032 2.112 2.200 2.115 2.040 1.998 1.820 0.350 
5.000 25.120 -1.000 -0.495 -0.223 0.128 0.545 0.836 1.168 1.365 1.646 1.758 1.923 2.002 2.088 2.001 1.925 1.883 1.706 0.243 
5.000 31.620 -1.092 -0.599 -0.327 0.023 0.439 0.729 1.061 1.257 1.536 1.646 1.808 1.885 1.968 1.880 1.803 1.760 1.585 0.131 
5.000 39.810 -1.186 -0.705 -0.433 -0.084 0.330 0.620 0.950 1.144 1.420 1.529 1.687 1.761 1.840 1.751 1.673 1.630 1.457 0.015 
5.000 50.120 -1.281 -0.812 -0.541 -0.193 0.219 0.506 0.835 1.027 1.299 1.404 1.557 1.628 1.702 1.611 1.532 1.489 1.320 -0.107 
5.000 63.100 -1.378 -0.922 -0.651 -0.304 0.103 0.389 0.715 0.903 1.170 1.270 1.418 1.484 1.552 1.459 1.379 1.336 1.171 -0.236 
5.000 79.430 -1.477 -1.033 -0.763 -0.419 -0.016 0.266 0.589 0.773 1.033 1.127 1.266 1.326 1.387 1.292 1.210 1.168 1.008 -0.373 
5.000 100.000 -1.579 -1.149 -0.880 -0.538 -0.141 0.137 0.455 0.634 0.884 0.971 1.100 1.153 1.205 1.105 1.023 0.981 0.829 -0.520 
5.000 125.890 -1.685 -1.268 -1.000 -0.662 -0.273 0.000 0.313 0.483 0.723 0.800 0.916 0.959 0.999 0.896 0.812 0.771 0.628 -0.680 
5.000 158.490 -1.796 -1.392 -1.126 -0.791 -0.412 -0.146 0.158 0.319 0.544 0.610 0.709 0.740 0.765 0.657 0.572 0.531 0.400 -0.857 
5.000 199.530 -1.913 -1.522 -1.258 -0.929 -0.563 -0.305 -0.010 0.139 0.345 0.396 0.474 0.489 0.496 0.382 0.295 0.255 0.139 -1.053 
5.000 251.190 -2.038 -1.660 -1.399 -1.077 -0.726 -0.479 -0.197 -0.063 0.120 0.151 0.203 0.199 0.183 0.060 -0.028 -0.066 -0.164 -1.274 
5.000 316.230 -2.172 -1.808 -1.550 -1.237 -0.906 -0.673 -0.406 -0.292 -0.138 -0.131 -0.112 -0.141 -0.186 -0.318 -0.410 -0.446 -0.520 -1.527 
