GarciaEtAl2005SSlab_CanadaSHM6-trial modified from OpenQuake implementation, distance is rhypo. Log10 ground motion values in cgs units, PGV and Sa(T<0.1s) not valid
          14 31 18 : nmag, ndist, nperiod
          10.000 5.000 4.000 3.000 2.000 1.500 1.000 0.750 0.500 0.400 0.300 0.200 0.100 0.070 0.050 0.040 PGA PGV 
          0.567 0.567 0.583 0.605 0.607 0.645 0.638 0.631 0.609 0.626 0.637 0.644 0.770 0.775 0.773 0.733 0.657 0.593
4.750 1.000 -0.518 0.048 0.314 0.666 1.096 1.403 1.757 1.988 2.307 2.457 2.662 2.813 2.983 2.909 2.821 2.763 2.540 0.927 
4.750 1.260 -0.542 0.022 0.288 0.640 1.070 1.377 1.731 1.962 2.281 2.431 2.636 2.787 2.957 2.882 2.795 2.737 2.514 0.901 
4.750 1.580 -0.574 -0.013 0.253 0.605 1.035 1.342 1.695 1.926 2.245 2.395 2.600 2.751 2.921 2.846 2.759 2.701 2.478 0.865 
4.750 2.000 -0.618 -0.060 0.206 0.558 0.988 1.295 1.649 1.880 2.199 2.348 2.553 2.704 2.874 2.799 2.712 2.654 2.431 0.818 
4.750 2.510 -0.672 -0.117 0.148 0.500 0.930 1.237 1.591 1.821 2.140 2.290 2.494 2.645 2.814 2.740 2.653 2.594 2.372 0.760 
4.750 3.160 -0.736 -0.186 0.080 0.432 0.861 1.168 1.521 1.752 2.071 2.220 2.424 2.575 2.744 2.669 2.582 2.524 2.302 0.690 
4.750 3.980 -0.809 -0.264 0.002 0.354 0.783 1.090 1.443 1.673 1.992 2.141 2.345 2.495 2.664 2.589 2.502 2.443 2.221 0.611 
4.750 5.010 -0.888 -0.349 -0.083 0.268 0.698 1.004 1.357 1.587 1.905 2.054 2.257 2.407 2.576 2.500 2.413 2.355 2.133 0.525 
4.750 6.310 -0.971 -0.439 -0.174 0.178 0.607 0.913 1.265 1.495 1.812 1.961 2.164 2.313 2.481 2.406 2.318 2.260 2.039 0.433 
4.750 7.940 -1.058 -0.534 -0.268 0.083 0.512 0.817 1.170 1.399 1.715 1.863 2.065 2.214 2.381 2.306 2.218 2.160 1.940 0.336 
4.750 10.000 -1.147 -0.631 -0.365 -0.014 0.414 0.719 1.071 1.299 1.615 1.762 1.963 2.111 2.277 2.202 2.114 2.056 1.836 0.235 
4.750 12.590 -1.237 -0.730 -0.464 -0.114 0.313 0.618 0.969 1.197 1.512 1.658 1.858 2.004 2.170 2.094 2.006 1.948 1.729 0.132 
4.750 15.850 -1.327 -0.830 -0.565 -0.215 0.211 0.515 0.866 1.093 1.406 1.551 1.749 1.894 2.058 1.982 1.894 1.836 1.618 0.027 
4.750 19.950 -1.419 -0.932 -0.667 -0.317 0.107 0.410 0.760 0.986 1.297 1.440 1.637 1.780 1.943 1.865 1.777 1.720 1.503 -0.082 
4.750 25.120 -1.511 -1.035 -0.770 -0.421 0.002 0.304 0.652 0.876 1.185 1.327 1.520 1.662 1.822 1.744 1.656 1.598 1.384 -0.193 
4.750 31.620 -1.604 -1.139 -0.875 -0.527 -0.106 0.195 0.542 0.764 1.070 1.209 1.399 1.539 1.696 1.617 1.528 1.471 1.259 -0.308 
4.750 39.810 -1.698 -1.245 -0.981 -0.634 -0.215 0.083 0.428 0.648 0.950 1.086 1.272 1.409 1.562 1.482 1.393 1.336 1.127 -0.427 
4.750 50.120 -1.793 -1.353 -1.089 -0.743 -0.328 -0.031 0.311 0.528 0.825 0.958 1.139 1.271 1.420 1.338 1.249 1.192 0.986 -0.551 
4.750 63.100 -1.889 -1.462 -1.199 -0.855 -0.444 -0.150 0.190 0.402 0.694 0.822 0.996 1.123 1.266 1.182 1.093 1.036 0.835 -0.681 
4.750 79.430 -1.989 -1.574 -1.312 -0.970 -0.564 -0.273 0.062 0.270 0.554 0.676 0.842 0.963 1.098 1.012 0.922 0.866 0.671 -0.820 
4.750 100.000 -2.091 -1.689 -1.428 -1.089 -0.689 -0.403 -0.072 0.129 0.405 0.518 0.674 0.787 0.913 0.824 0.733 0.678 0.490 -0.968 
4.750 125.890 -2.196 -1.808 -1.549 -1.213 -0.821 -0.540 -0.216 -0.022 0.242 0.346 0.488 0.592 0.706 0.613 0.521 0.466 0.288 -1.129 
4.750 158.490 -2.307 -1.932 -1.675 -1.343 -0.961 -0.687 -0.371 -0.186 0.062 0.155 0.280 0.371 0.471 0.373 0.280 0.226 0.060 -1.305 
4.750 199.530 -2.424 -2.063 -1.807 -1.480 -1.111 -0.846 -0.539 -0.368 -0.137 -0.060 0.044 0.120 0.201 0.097 0.002 -0.050 -0.202 -1.502 
4.750 251.190 -2.549 -2.201 -1.948 -1.628 -1.275 -1.020 -0.726 -0.570 -0.363 -0.305 -0.227 -0.171 -0.112 -0.224 -0.322 -0.372 -0.505 -1.723 
4.750 316.230 -2.683 -2.349 -2.099 -1.788 -1.455 -1.214 -0.936 -0.799 -0.621 -0.587 -0.542 -0.511 -0.482 -0.603 -0.703 -0.752 -0.862 -1.976 
4.750 398.110 -2.830 -2.510 -2.264 -1.963 -1.656 -1.432 -1.173 -1.061 -0.920 -0.916 -0.913 -0.913 -0.921 -1.055 -1.158 -1.204 -1.284 -2.268 
4.750 501.190 -2.992 -2.686 -2.445 -2.158 -1.882 -1.680 -1.446 -1.365 -1.270 -1.305 -1.354 -1.393 -1.447 -1.597 -1.704 -1.747 -1.790 -2.611 
4.750 630.960 -3.174 -2.882 -2.648 -2.377 -2.142 -1.967 -1.764 -1.722 -1.686 -1.768 -1.884 -1.972 -2.085 -2.254 -2.366 -2.405 -2.402 -3.016 
4.750 794.330 -3.381 -3.103 -2.877 -2.628 -2.443 -2.303 -2.139 -2.145 -2.183 -2.326 -2.524 -2.675 -2.861 -3.054 -3.173 -3.208 -3.145 -3.499 
4.750 1000.000 -3.620 -3.355 -3.139 -2.917 -2.796 -2.699 -2.584 -2.653 -2.782 -3.002 -3.305 -3.534 -3.813 -4.037 -4.164 -4.192 -4.056 -4.083 
5.000 1.000 -0.376 0.184 0.442 0.783 1.201 1.499 1.839 2.059 2.369 2.511 2.712 2.852 3.013 2.943 2.859 2.802 2.580 0.997 
5.000 1.260 -0.391 0.168 0.426 0.767 1.185 1.482 1.823 2.042 2.353 2.495 2.696 2.836 2.996 2.927 2.842 2.786 2.563 0.981 
5.000 1.580 -0.411 0.145 0.403 0.744 1.162 1.459 1.800 2.019 2.329 2.471 2.672 2.812 2.972 2.903 2.818 2.762 2.539 0.957 
5.000 2.000 -0.441 0.112 0.370 0.711 1.129 1.426 1.767 1.986 2.296 2.438 2.639 2.779 2.939 2.869 2.785 2.728 2.506 0.924 
5.000 2.510 -0.481 0.069 0.327 0.667 1.085 1.382 1.723 1.942 2.252 2.394 2.595 2.734 2.894 2.825 2.740 2.684 2.461 0.880 
5.000 3.160 -0.532 0.014 0.272 0.612 1.030 1.327 1.668 1.887 2.196 2.338 2.539 2.678 2.838 2.768 2.683 2.627 2.405 0.824 
5.000 3.980 -0.593 -0.052 0.206 0.546 0.964 1.261 1.601 1.820 2.129 2.271 2.471 2.610 2.770 2.700 2.615 2.559 2.337 0.757 
5.000 5.010 -0.663 -0.128 0.130 0.470 0.888 1.184 1.524 1.743 2.052 2.193 2.393 2.532 2.691 2.621 2.536 2.480 2.258 0.680 
5.000 6.310 -0.740 -0.211 0.046 0.387 0.804 1.100 1.440 1.658 1.966 2.107 2.306 2.445 2.603 2.533 2.448 2.392 2.171 0.595 
5.000 7.940 -0.822 -0.301 -0.043 0.297 0.714 1.010 1.349 1.567 1.874 2.015 2.213 2.351 2.509 2.438 2.353 2.297 2.077 0.503 
5.000 10.000 -0.908 -0.394 -0.137 0.203 0.619 0.914 1.253 1.470 1.777 1.917 2.114 2.251 2.408 2.337 2.253 2.197 1.976 0.406 
5.000 12.590 -0.996 -0.491 -0.234 0.106 0.521 0.816 1.154 1.370 1.676 1.815 2.011 2.147 2.303 2.232 2.147 2.091 1.872 0.305 
5.000 15.850 -1.086 -0.590 -0.333 0.006 0.420 0.714 1.052 1.267 1.572 1.709 1.903 2.038 2.193 2.121 2.036 1.980 1.762 0.201 
5.000 19.950 -1.177 -0.691 -0.434 -0.096 0.317 0.611 0.947 1.161 1.464 1.600 1.792 1.925 2.078 2.006 1.921 1.865 1.648 0.093 
5.000 25.120 -1.268 -0.794 -0.537 -0.199 0.212 0.505 0.840 1.052 1.353 1.487 1.676 1.808 1.958 1.885 1.800 1.744 1.529 -0.017 
5.000 31.620 -1.361 -0.898 -0.641 -0.304 0.105 0.396 0.730 0.941 1.238 1.369 1.556 1.685 1.832 1.758 1.672 1.617 1.405 -0.132 
5.000 39.810 -1.455 -1.003 -0.747 -0.411 -0.004 0.285 0.617 0.825 1.118 1.247 1.429 1.555 1.699 1.624 1.538 1.482 1.273 -0.251 
5.000 50.120 -1.550 -1.111 -0.855 -0.520 -0.117 0.170 0.500 0.705 0.994 1.118 1.295 1.417 1.557 1.480 1.393 1.338 1.133 -0.374 
5.000 63.100 -1.647 -1.220 -0.965 -0.632 -0.233 0.052 0.378 0.579 0.862 0.982 1.153 1.270 1.403 1.324 1.237 1.183 0.982 -0.505 
5.000 79.430 -1.746 -1.332 -1.078 -0.747 -0.352 -0.071 0.251 0.447 0.723 0.837 0.999 1.110 1.236 1.154 1.067 1.013 0.818 -0.643 
5.000 100.000 -1.848 -1.447 -1.194 -0.866 -0.478 -0.201 0.116 0.307 0.573 0.679 0.831 0.934 1.051 0.966 0.878 0.825 0.637 -0.791 
5.000 125.890 -1.954 -1.566 -1.314 -0.990 -0.609 -0.338 -0.027 0.155 0.410 0.507 0.645 0.738 0.843 0.755 0.666 0.613 0.435 -0.952 
5.000 158.490 -2.065 -1.690 -1.440 -1.120 -0.750 -0.485 -0.182 -0.009 0.231 0.316 0.437 0.518 0.609 0.516 0.425 0.373 0.206 -1.128 
5.000 199.530 -2.181 -1.821 -1.573 -1.257 -0.900 -0.644 -0.351 -0.190 0.031 0.101 0.202 0.267 0.339 0.240 0.147 0.097 -0.055 -1.325 
5.000 251.190 -2.306 -1.959 -1.713 -1.405 -1.063 -0.819 -0.537 -0.393 -0.194 -0.144 -0.069 -0.024 0.025 -0.082 -0.176 -0.225 -0.359 -1.546 
