GarciaEtAl2005SSlab_CanadaSHM6-trial modified from OpenQuake implementation, distance is rhypo. Log10 ground motion values in cgs units, PGV and Sa(T<0.1s) not valid
          14 31 18 : nmag, ndist, nperiod
          10.000 5.000 4.000 3.000 2.000 1.500 1.000 0.750 0.500 0.400 0.300 0.200 0.100 0.070 0.050 0.040 PGA PGV 
          0.567 0.567 0.583 0.605 0.607 0.645 0.638 0.631 0.609 0.626 0.637 0.644 0.770 0.775 0.773 0.733 0.657 0.593
4.750 1.000 -0.330 0.257 0.534 0.893 1.321 1.622 1.966 2.179 2.475 2.604 2.785 2.890 3.013 2.934 2.865 2.823 2.630 1.089 
4.750 1.260 -0.353 0.231 0.508 0.867 1.295 1.597 1.941 2.154 2.450 2.580 2.761 2.867 2.989 2.910 2.840 2.798 2.606 1.064 
4.750 1.580 -0.386 0.196 0.473 0.832 1.260 1.562 1.907 2.120 2.417 2.547 2.728 2.834 2.956 2.878 2.807 2.764 2.572 1.030 
4.750 2.000 -0.429 0.150 0.426 0.786 1.214 1.517 1.862 2.075 2.373 2.503 2.685 2.791 2.913 2.834 2.763 2.720 2.527 0.985 
4.750 2.510 -0.483 0.092 0.368 0.728 1.157 1.460 1.805 2.020 2.318 2.448 2.630 2.737 2.859 2.780 2.707 2.664 2.471 0.928 
4.750 3.160 -0.548 0.023 0.300 0.659 1.089 1.392 1.738 1.953 2.252 2.383 2.565 2.673 2.795 2.715 2.641 2.597 2.404 0.861 
4.750 3.980 -0.620 -0.055 0.222 0.582 1.012 1.315 1.662 1.878 2.177 2.308 2.491 2.599 2.721 2.640 2.566 2.521 2.327 0.784 
4.750 5.010 -0.699 -0.140 0.137 0.497 0.927 1.231 1.579 1.795 2.095 2.226 2.409 2.518 2.640 2.558 2.482 2.437 2.243 0.700 
4.750 6.310 -0.783 -0.230 0.047 0.406 0.837 1.141 1.490 1.706 2.007 2.138 2.321 2.430 2.552 2.469 2.392 2.346 2.153 0.610 
4.750 7.940 -0.870 -0.324 -0.048 0.312 0.743 1.047 1.396 1.613 1.914 2.045 2.228 2.337 2.458 2.375 2.297 2.250 2.057 0.515 
4.750 10.000 -0.958 -0.421 -0.145 0.215 0.646 0.950 1.299 1.516 1.817 1.948 2.131 2.240 2.360 2.276 2.197 2.150 1.957 0.417 
4.750 12.590 -1.048 -0.520 -0.244 0.116 0.547 0.851 1.200 1.417 1.717 1.848 2.029 2.138 2.257 2.172 2.093 2.045 1.852 0.315 
4.750 15.850 -1.139 -0.621 -0.345 0.015 0.445 0.749 1.098 1.314 1.614 1.744 1.924 2.032 2.150 2.064 1.984 1.936 1.744 0.211 
4.750 19.950 -1.230 -0.723 -0.447 -0.088 0.342 0.645 0.994 1.209 1.508 1.636 1.815 1.922 2.038 1.952 1.870 1.822 1.631 0.104 
4.750 25.120 -1.323 -0.826 -0.550 -0.192 0.237 0.539 0.887 1.102 1.398 1.525 1.702 1.807 1.921 1.833 1.751 1.702 1.513 -0.006 
4.750 31.620 -1.415 -0.930 -0.655 -0.297 0.130 0.431 0.777 0.990 1.285 1.410 1.583 1.686 1.797 1.708 1.626 1.577 1.390 -0.120 
4.750 39.810 -1.509 -1.036 -0.761 -0.404 0.020 0.320 0.665 0.876 1.166 1.289 1.458 1.559 1.666 1.576 1.492 1.443 1.259 -0.238 
4.750 50.120 -1.604 -1.143 -0.869 -0.513 -0.092 0.206 0.548 0.756 1.043 1.161 1.326 1.423 1.525 1.433 1.349 1.300 1.120 -0.362 
4.750 63.100 -1.701 -1.253 -0.979 -0.625 -0.208 0.087 0.427 0.632 0.912 1.026 1.184 1.276 1.373 1.279 1.194 1.146 0.970 -0.491 
4.750 79.430 -1.800 -1.365 -1.092 -0.740 -0.328 -0.036 0.300 0.500 0.773 0.881 1.031 1.117 1.207 1.110 1.024 0.976 0.806 -0.629 
4.750 100.000 -1.902 -1.480 -1.208 -0.859 -0.453 -0.165 0.166 0.360 0.624 0.724 0.864 0.942 1.023 0.923 0.836 0.788 0.626 -0.777 
4.750 125.890 -2.008 -1.599 -1.328 -0.983 -0.584 -0.302 0.023 0.209 0.462 0.552 0.679 0.747 0.816 0.712 0.624 0.577 0.424 -0.938 
4.750 158.490 -2.119 -1.723 -1.454 -1.113 -0.724 -0.449 -0.132 0.044 0.283 0.362 0.471 0.527 0.582 0.473 0.384 0.338 0.196 -1.114 
4.750 199.530 -2.236 -1.854 -1.586 -1.250 -0.875 -0.608 -0.301 -0.137 0.083 0.147 0.236 0.276 0.312 0.197 0.106 0.061 -0.066 -1.311 
4.750 251.190 -2.360 -1.992 -1.727 -1.398 -1.038 -0.783 -0.487 -0.339 -0.142 -0.098 -0.035 -0.014 -0.002 -0.124 -0.217 -0.261 -0.369 -1.532 
4.750 316.230 -2.495 -2.140 -1.878 -1.558 -1.218 -0.976 -0.697 -0.568 -0.400 -0.380 -0.350 -0.354 -0.371 -0.503 -0.599 -0.640 -0.725 -1.785 
4.750 398.110 -2.641 -2.300 -2.043 -1.733 -1.419 -1.194 -0.934 -0.830 -0.699 -0.709 -0.721 -0.756 -0.810 -0.954 -1.054 -1.092 -1.148 -2.077 
4.750 501.190 -2.804 -2.477 -2.225 -1.928 -1.646 -1.442 -1.207 -1.134 -1.050 -1.098 -1.163 -1.237 -1.337 -1.497 -1.600 -1.636 -1.654 -2.419 
4.750 630.960 -2.986 -2.673 -2.427 -2.147 -1.905 -1.729 -1.525 -1.491 -1.465 -1.561 -1.692 -1.815 -1.974 -2.153 -2.262 -2.294 -2.265 -2.824 
4.750 794.330 -3.193 -2.894 -2.656 -2.397 -2.206 -2.065 -1.900 -1.914 -1.962 -2.118 -2.333 -2.518 -2.750 -2.954 -3.069 -3.096 -3.009 -3.308 
4.750 1000.000 -3.431 -3.146 -2.919 -2.687 -2.559 -2.461 -2.345 -2.421 -2.562 -2.794 -3.114 -3.377 -3.702 -3.937 -4.060 -4.080 -3.919 -3.892 
5.000 1.000 -0.188 0.394 0.662 1.010 1.426 1.717 2.047 2.248 2.534 2.655 2.832 2.926 3.038 2.965 2.899 2.860 2.667 1.158 
5.000 1.260 -0.202 0.378 0.646 0.994 1.410 1.701 2.031 2.232 2.519 2.640 2.817 2.911 3.023 2.950 2.884 2.844 2.652 1.143 
5.000 1.580 -0.223 0.354 0.623 0.970 1.386 1.678 2.009 2.210 2.497 2.618 2.795 2.889 3.002 2.928 2.861 2.822 2.629 1.120 
5.000 2.000 -0.253 0.322 0.590 0.938 1.354 1.646 1.977 2.178 2.466 2.587 2.764 2.859 2.972 2.898 2.830 2.790 2.598 1.088 
5.000 2.510 -0.293 0.278 0.547 0.895 1.311 1.604 1.935 2.137 2.424 2.546 2.724 2.819 2.931 2.857 2.789 2.748 2.556 1.045 
5.000 3.160 -0.344 0.223 0.492 0.840 1.257 1.550 1.881 2.084 2.372 2.494 2.672 2.767 2.880 2.805 2.736 2.695 2.502 0.992 
5.000 3.980 -0.405 0.157 0.426 0.774 1.191 1.484 1.817 2.020 2.309 2.431 2.609 2.705 2.818 2.742 2.672 2.630 2.437 0.927 
5.000 5.010 -0.475 0.082 0.350 0.698 1.116 1.410 1.743 1.946 2.236 2.359 2.537 2.633 2.745 2.669 2.598 2.556 2.363 0.852 
5.000 6.310 -0.552 -0.002 0.267 0.615 1.033 1.327 1.661 1.864 2.155 2.278 2.456 2.553 2.665 2.588 2.515 2.472 2.279 0.769 
5.000 7.940 -0.634 -0.091 0.177 0.525 0.944 1.238 1.572 1.776 2.067 2.190 2.368 2.465 2.577 2.499 2.426 2.382 2.189 0.679 
5.000 10.000 -0.720 -0.185 0.083 0.432 0.850 1.144 1.479 1.683 1.974 2.097 2.275 2.372 2.483 2.404 2.330 2.285 2.092 0.584 
5.000 12.590 -0.808 -0.282 -0.014 0.335 0.753 1.047 1.382 1.586 1.877 2.000 2.177 2.274 2.383 2.304 2.228 2.183 1.991 0.486 
5.000 15.850 -0.898 -0.381 -0.113 0.235 0.653 0.947 1.282 1.486 1.776 1.898 2.074 2.170 2.279 2.199 2.122 2.076 1.884 0.383 
5.000 19.950 -0.988 -0.482 -0.214 0.134 0.551 0.844 1.179 1.382 1.671 1.792 1.967 2.062 2.169 2.088 2.010 1.964 1.773 0.277 
5.000 25.120 -1.080 -0.584 -0.317 0.030 0.446 0.739 1.073 1.276 1.563 1.682 1.854 1.949 2.053 1.971 1.892 1.845 1.657 0.168 
5.000 31.620 -1.173 -0.688 -0.421 -0.075 0.340 0.631 0.964 1.165 1.450 1.567 1.737 1.829 1.931 1.847 1.767 1.721 1.534 0.055 
5.000 39.810 -1.266 -0.794 -0.527 -0.182 0.231 0.521 0.852 1.051 1.333 1.447 1.613 1.702 1.800 1.715 1.635 1.588 1.404 -0.063 
5.000 50.120 -1.362 -0.901 -0.635 -0.291 0.119 0.407 0.736 0.932 1.210 1.321 1.481 1.567 1.660 1.574 1.492 1.446 1.265 -0.186 
5.000 63.100 -1.458 -1.011 -0.745 -0.402 0.003 0.289 0.615 0.808 1.080 1.186 1.340 1.421 1.509 1.420 1.338 1.291 1.116 -0.315 
5.000 79.430 -1.558 -1.123 -0.857 -0.517 -0.116 0.166 0.489 0.677 0.941 1.042 1.187 1.263 1.343 1.252 1.168 1.122 0.952 -0.453 
5.000 100.000 -1.660 -1.238 -0.973 -0.636 -0.241 0.036 0.355 0.536 0.792 0.885 1.021 1.088 1.159 1.064 0.980 0.935 0.772 -0.601 
5.000 125.890 -1.766 -1.357 -1.094 -0.760 -0.373 -0.101 0.211 0.386 0.630 0.713 0.836 0.893 0.953 0.854 0.769 0.724 0.571 -0.761 
5.000 158.490 -1.876 -1.481 -1.220 -0.889 -0.513 -0.247 0.057 0.222 0.451 0.522 0.628 0.674 0.719 0.615 0.528 0.484 0.343 -0.938 
5.000 199.530 -1.993 -1.611 -1.352 -1.027 -0.663 -0.406 -0.112 0.040 0.252 0.308 0.393 0.423 0.449 0.339 0.251 0.208 0.081 -1.134 
5.000 251.190 -2.118 -1.749 -1.493 -1.175 -0.827 -0.581 -0.298 -0.162 0.026 0.063 0.122 0.132 0.136 0.018 -0.072 -0.114 -0.222 -1.355 
5.000 316.230 -2.252 -1.898 -1.644 -1.334 -1.007 -0.774 -0.508 -0.390 -0.232 -0.219 -0.193 -0.207 -0.234 -0.361 -0.454 -0.493 -0.578 -1.608 
